"id","id_parent","nome","vtype","vlink","id_artist","publishedon","views","likes","dislikes","lastupdate","recentviews","recentlikes","promoted","dead","promotedviews"
"2480","0","What is Love?","main","i0p1bmr0EmE","208","2018-04-09","383702847","3136355","222735","2020-05-04 00:09:02","226601","2375","n","n","0"
"2481","0","District 9","main","u6unJQownW4","288","2018-03-26","43188252","980760","12276","2020-05-03 02:59:02","20928","558","n","n","0"
"2482","0","Hellevator","main","AdfIfFGCqgo","288","2017-10-06","59589513","1469144","11768","2020-05-03 01:39:02","47122","1202","n","n","0"
"2483","0","Grow Up","main","a4jiotDjHe4","288","2018-03-30","9391315","488580","2422","2020-05-03 17:52:01","4778","255","n","n","0"
"2484","0","Grrr","main","Sy3ERg7OCWo","288","2018-01-07","12804649","504013","4641","2020-05-03 15:36:29","6088","198","n","n","0"
"2485","0","Young Wing","main","Xo8FPXlI3CU","288","2018-01-15","13762263","455963","2364","2020-05-03 17:52:29","8303","216","n","n","0"
"2486","0","Closed Doors","main","VMm9fTU54ow","15","2018-04-15","1460554","104714","254","2020-05-03 15:50:02","514","16","n","n","0"
"2487","0","Let's go together","main","7s6oo0kaWJ8","280","2018-04-14","2890958","63910","365","2020-05-03 15:52:02","1707","24","n","n","0"
"2488","0","Easy","main","KNWLQI5_JLc","289","2018-04-17","9244902","195459","1218","2020-05-03 17:53:02","12247","299","n","n","0"
"2489","2488","Easy","duplicate","U_tQ-GIC0O8","289","2018-04-17","826890","54289","196","2020-05-01 13:14:02","484","40","n","n","0"
"2490","0","Scentist","main","MctZLEYlU4s","215","2018-04-17","12369165","359049","2269","2020-05-03 17:53:02","3211","46","n","n","0"
"2491","0","Call Your Name","main","Ks6I2rtI4ms","274","2018-04-17","6434004","288073","1476","2020-05-03 17:53:02","1137","21","n","n","0"
"2492","2338","Dramarama","duplicate","xxwZe6QUqU0","143","2017-11-07","4283442","139271","1141","2020-05-03 17:54:02","243","5","n","n","0"
"2493","2471","Black Dress","duplicate","4Ic9crCZOfE","45","2018-02-22","6140752","238157","2383","2020-05-03 17:54:02","13614","253","n","n","0"
"2494","0","That day","main","40Z9-kr504w","134","2018-04-23","7424480","74399","2722","2020-05-03 15:52:30","1838","19","n","n","0"
"2495","0","Dally","main","AoZFLCy-P-8","88","2018-04-23","16337646","419211","10851","2020-05-03 17:54:02","9211","265","n","n","0"
"2496","0","Where the wind rises","main","Wn03tgpmMJg","273","2018-04-22","723356","25673","280","2020-05-01 13:38:01","527","9","n","n","0"
"2497","0","Lifeline","main","I4B2JfQ2iiM","15","2018-04-21","338995","29394","80","2020-05-01 13:21:02","85","2","n","n","0"
"2498","0","Mirror","main","rXEy8r5P_vc","288","2018-04-22","6752055","306539","1411","2020-05-03 17:55:02","4783","153","n","n","0"
"2499","0","Miracle","main","fihius0K9B0","18","2018-04-19","1463162","42483","638","2020-05-03 17:55:02","335","5","n","n","0"
"2500","0","Wake Me Up (jp)","main","DdLYSziSXII","208","2018-04-24","52480524","648472","30112","2020-05-03 02:40:01","30800","340","n","n","0"
